domain,category_names
dreamstime.com,"business,media-sharing"
wish.co,"business,shopping"
m3globalresearch.com,"business,education"
lolcounter.com,"entertainment,games"
rarlab.com,information-tech
myfood.ltd,"business,education"
familysearch.org,"business,education"
nudography.com,"adult,entertainment"
pornhub.co,parked
theonion.com,"entertainment,humor"
elitedealclub.com,"business,shopping"
minecraftskins.com,entertainment
yahoo.net,"education,entertainment,news and media"
suicidegirls.com,"business,entertainment"
geekxgirls.com,entertainment
8tracks.com,"entertainment,streaming-media"
highonandroid.com,"information-tech,news and media,shopping"
themoviedb.org,entertainment
bittorrent.am,"illegal-content,media-sharing"
giffgaff.com,"business,shopping"
nordvpn.com,"business,information-tech"
apksum.com,media-sharing
yoyogames.com,"business,education,information-tech"
fileinfo.com,information-tech
onhax.me,"business,education,media-sharing"
wd.com,"business,information-tech"
uptobox.com,media-sharing
gamejolt.com,games
sh.st,business
jimdo.com,business
tvline.com,entertainment
videohelp.com,"entertainment,information-tech"
katcr.co,entertainment
userscloud.com,"business,information-tech"
khinsider.com,"business,education,entertainment"
sketchup.com,"business,education,information-tech"
prizerebel.com,"business,shopping"
airdroid.com,"business,chat and messaging,information-tech"
foodnetwork.com,food and recipes
lotro.com,"business,education"
skidrowreloaded.com,"entertainment,games"
soft112.com,"business,information-tech"
yifysubtitles.com,"business,education"
makemkv.com,"entertainment,information-tech"
gonitro.com,business
ey.com,"business,education"
envato.com,business
pond5.com,"business,education,entertainment"
bensound.com,"business,education,media-sharing"
supercheats.com,"education,games"
ownedcore.com,business
trimble.com,business
aiosearch.com,illegal-content
torrentz2.eu,illegal-content
sendibt3.com,education
bulbagarden.net,"education,games"
onlinefanatic.com,entertainment
googlesyndication.com,search-engines and portals
justjared.com,entertainment
cartermatt.com,entertainment
thedailybeast.com,"business,education,entertainment"
crunchbase.com,"business,education,news and media"
tutsplus.com,"business,education,information-tech"
alternativeto.net,"business,information-tech"
gameinformer.com,"entertainment,games"
hearthpwn.com,"business,entertainment"
news.com.au,"entertainment,news and media"
marvel.com,entertainment
blackdesertonline.com,"business,education,entertainment"
wahoofitness.com,"business,shopping"
maketecheasier.com,information-tech
playdauntless.com,"business,education"
opendns.com,"business,information-tech"
notepad-plus-plus.org,"education,information-tech"
pricespider.com,business
raymond.cc,information-tech
whatismyip.com,information-tech
callofduty.com,"business,entertainment,games"
bitly.com,business
myfavouritemagazines.co.uk,entertainment
truckersmp.com,"business,education,information-tech"
mangaupdates.com,entertainment
blackmagicdesign.com,"business,education"
lmgtfy.com,business
raspberrypi.org,"business,education"
crucial.com,"business,information-tech"
cartoontube.xxx,adult
howlongtobeat.com,"business,education,games"
futurecdn.net,business
humble.com,shopping
intouchweekly.com,entertainment
irecommend.ru,"education,entertainment,shopping"
wirecard.com,business
www.am,"business,information-tech"
runescape.com,"business,games"
totalwar.com,"education,games"
clips4sale.com,adult
marthastewart.com,"business,food and recipes"
womansday.com,"business,education,news and media"
youngliving.com,"business,education"
microsdc.com,"business,education"
letgo.com,"business,education,shopping"
sololearn.com,"business,education,information-tech"
snapdeal.com,"entertainment,shopping"
duolingo.com,"business,education"
nyu.edu,education
popularmechanics.com,"business,education,news and media"
oprah.com,"business,entertainment"
tube8.com,adult
hclips.com,adult
hotmovs.com,adult
sexu.com,adult
sagepub.com,"business,education"
mylust.com,adult
iceporn.com,adult
nuvid.com,adult
liebertpub.com,"business,education,health"
grunge.com,"education,entertainment"
oneall.com,"business,information-tech"
animefreak.tv,entertainment
lolking.net,"business,education"
probuilds.net,sports
xvideos.co,adult
politifact.com,"business,education,news and media"
reverso.net,"education,translators"
kodi.tv,"business,education"
onenote.com,"business,education,information-tech"
9to5mac.com,"business,information-tech,news and media"
ustvnow.com,"entertainment,streaming-media"
onlineslangdictionary.com,education
